"Story","Title","Result","Date","Stability","Duration (s)"
"User CURD test with steps","This will create a new user","SUCCESS","2022-06-04T23:34:27.902+01:00[Europe/London]","0.0","10.28"
"User CURD test with steps","Verify if the user was added to the application","SUCCESS","2022-06-04T23:34:38.255+01:00[Europe/London]","0.0","0.87"
"User CURD test with steps","Update the user information and verify the updated information for ID=7","SUCCESS","2022-06-04T23:34:39.123+01:00[Europe/London]","0.0","0.3"
"User CURD test with steps","Delete the user and verify if the user is deleted! for ID=9","SUCCESS","2022-06-04T23:34:39.422+01:00[Europe/London]","0.0","0.18"
